Departamento;Municipio;Dirección;Latitud y;Longitud x;Fecha_ingreso 
Guatemala;Guatemala;"21 AVENIDA  &quot;A&quot; y 32 CALLE COLONIA HACIENDA REAL ZONA 16";14.61465496;-90.46293739;2020-05-02
Guatemala;Guatemala;14 CALLE A 20-14 ZONA 1;14.63246589;-90.49956312;2020-05-02
Guatemala;Guatemala;DIAGONAL 25 (CARRETERA A LOS VADOS) 55-80 ZONA 18;14.69596905;-90.44234743;2020-05-02
Guatemala;Guatemala;12 AVENIDA A 14 CALLE ZONA 2;14.65860627;-90.50091867;2020-05-02
Guatemala;Santa Catarina Pinula;CANTON LOURDES;14.60308532;-90.44166741;2020-05-02
Guatemala;Santa Catarina Pinula;CANTON LOURDES;14.60427081;-90.44511698;2020-05-02
Guatemala;Guatemala;CALZADA ATANASIO TZUL CALLEJON ENTRE 30 Y 31 CALLE ZONA 12;14.59034813;-90.54034065;2020-05-02
Guatemala;Guatemala;12 AVENIDA A Y B CANTON VICTORIA ZONA 14;14.57905594;-90.51287616;2020-05-02
Guatemala;Guatemala;LOTE 11 LOT ALONDRAS COL MAYA ZONA 18;14.66680115;-90.46010255;2020-05-02
Guatemala;Guatemala;;14.61012368;-90.54159819;2020-05-02
Guatemala;Guatemala;;14.56136243;-90.54162829;2020-05-02
Guatemala;Guatemala;;14.6110771;-90.50299586;2020-05-02
Guatemala;Guatemala;11 CALLE 12-20 COLONIA OAKLAND ZONA 10;14.59973444;-90.50264194;2020-05-02
Guatemala;Guatemala;NO TIENE INFORMACION CATASTRAL;14.65896312;-90.45982179;2020-05-02
Guatemala;Guatemala;36 AVENIDA 12-96 ZONA 5;14.63360604;-90.49574999;2020-05-02
Guatemala;Santa Catarina Pinula;50 AVENIDA 50-31 COLONIA VISTA HERMOSA IV ZONA 16;14.59434565;-90.44995456;2020-05-02
Guatemala;Guatemala;KILOMETRO 75 AL ATLANTICO ZONA 17;14.64233398;-90.45227576;2020-05-02
Guatemala;Guatemala;12 AVENIDA A 12-86 ZONA 17 COLONIA COLEGIO DE MAESTROS;14.64535412;-90.46202015;2020-05-02
